"Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Indicator","Rank","Category_11","Category_12","Category_13","Category_14","Category_15","Category_21","Category_22","Category_23","Category_24","Category_25","Category_31","Category_32","Category_33","Category_34","New1","New2","New3","New4","New5","keyN"
"DB","Getting Electricity  Mechanisms for restoring service 01 DB1618 methodology","Total","Getting Electricity  Mechanisms for restoring service 01 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Electricity  Mechanisms for monitoring outages 01 DB1618 methodology","Total","Getting Electricity  Mechanisms for monitoring outages 01 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Electricity  Minimum outage time in minutes  DB1618 methodology","Total","Getting Electricity  Minimum outage time in minutes  DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Electricity  System average interruption frequency index SAIFI DB1618 methodology","Total","Getting Electricity  System average interruption frequency index SAIFI DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Electricity  System average interruption duration index SAIDI DB1618 methodology","Total","Getting Electricity  System average interruption duration index SAIDI DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Electricity  Total duration and frequency of outages per customer a year 03 DB1618 methodology","Total","Getting Electricity  Total duration and frequency of outages per customer a year 03 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Electricity  Reliability of supply and transparency of tariff index 08 DB1618 methodology","Total","Getting Electricity  Reliability of supply and transparency of tariff index 08 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Electricity  Cost % of income per capita","Total","Getting Electricity  Cost % of income per capita","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Electricity  Time days","Total","Getting Electricity  Time days","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Electricity  Procedures number","Total","Getting Electricity  Procedures number","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Electricity  DTF  Getting electricity
DB1015 methodology","Total","Getting Electricity  DTF  Getting electricity
DB1015 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Electricity  DTF  Getting electricity  DB1618 methodology","Total","Getting Electricity  DTF  Getting electricity  DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Rank  Getting electricity DB18","Total","Rank  Getting electricity DB18","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Dealing with Construction Permits  Professional certifications index 04 DB1618 methodology","Total","Dealing with Construction Permits  Professional certifications index 04 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
