"","Indicator","dataset","iso3","subset","year","group","question","answer","value","Indicator_Id"
"21373","Electoral Democracies-FH-Total","FH","LUX","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21374","Electoral Democracies-FH-Total","FH","MKD","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21375","Electoral Democracies-FH-Total","FH","MDG","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21376","Electoral Democracies-FH-Total","FH","MWI","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21377","Electoral Democracies-FH-Total","FH","MYS","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21378","Electoral Democracies-FH-Total","FH","MDV","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21379","Electoral Democracies-FH-Total","FH","MLI","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21380","Electoral Democracies-FH-Total","FH","MLT","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21381","Electoral Democracies-FH-Total","FH","MHL","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21382","Electoral Democracies-FH-Total","FH","MRT","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21383","Electoral Democracies-FH-Total","FH","MUS","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21384","Electoral Democracies-FH-Total","FH","MEX","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21385","Electoral Democracies-FH-Total","FH","FSM","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21386","Electoral Democracies-FH-Total","FH","MDA","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21387","Electoral Democracies-FH-Total","FH","MCO","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21388","Electoral Democracies-FH-Total","FH","MNG","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21389","Electoral Democracies-FH-Total","FH","MNE","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21390","Electoral Democracies-FH-Total","FH","MAR","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21391","Electoral Democracies-FH-Total","FH","MOZ","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21392","Electoral Democracies-FH-Total","FH","MMR","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21393","Electoral Democracies-FH-Total","FH","NAM","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21394","Electoral Democracies-FH-Total","FH","NRU","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21395","Electoral Democracies-FH-Total","FH","NPL","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21396","Electoral Democracies-FH-Total","FH","NLD","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21397","Electoral Democracies-FH-Total","FH","NZL","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21398","Electoral Democracies-FH-Total","FH","NIC","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21399","Electoral Democracies-FH-Total","FH","NER","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21400","Electoral Democracies-FH-Total","FH","NGA","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
